ID	lang
14345	en
9531	en
29946	en
17670	en
32143	en
32619	en
31476	en
1384	en
26678	en
16750	en
13628	en
23927	en
12278	en
8363	en
5119	en
30787	en
16026	en
32184	en
13604	en
30977	de
7915	en
14194	en
2851	en
25836	en
13348	en
6148	en
16218	en
17660	en
9284	en
31658	en
26442	en
26330	en
6835	en
18590	en
5496	en
4950	en
12650	en
16422	en
10053	en
8987	en
17714	en
15103	en
11371	en
29836	en
18355	en
17066	en
25981	en
17099	en
1960	en
7487	en
33113	en
9131	it
4415	en
4401	en
30181	en
3346	en
9119	en
984	en
32033	en
5904	en
9858	en
1592	en
28043	en
29349	en
25215	en
29348	en
5087	en
9865	it
21066	en
16184	en
10293	en
30157	en
985	en
3353	en
24877	en
1222	en
10278	en
7121	en
9124	en
10250	en
13759	en
23856	en
16153	en
31063	en
33112	en
1785	en
23301	de
32218	de
30341	en
5246	en
18432	en
13201	en
8776	en
17715	en
10052	en
30382	en
9326	en
12651	en
22143	en
29943	en
1154	en
17649	en
9520	en
28644	en
28136	en
30989	en
26866	en
7055	en
30792	en
26696	en
9734	en
14140	en
21845	en
7043	en
2649	en
30035	en
16794	en
25438	en
32636	en
9913	en
28652	en
4774	en
13439	en
29969	en
16227	en
4748	en
7533	en
30551	en
15921	en
24256	en
25148	en
31673	de
31115	en
29982	en
18593	en
15114	en
15666	en
4628	en
22035	en
30431	en
25000	en
18381	en
10252	en
26938	en
8238	en
6201	en
28901	en
18632	en
1546	en
5734	en
15464	en
16186	en
24646	en
19289	en
18183	en
21064	en
23114	en
14974	en
30154	en
17272	en
3344	en
1221	en
30829	en
16622	en
14035	en
5292	en
33105	en
3185	en
33111	en
30430	en
26246	en
6980	en
28280	en
13564	en
4615	en
15897	en
16420	en
31672	de
30236	en
31699	en
4013	en
9906	en
2853	en
31316	en
26865	en
18009	en
21844	en
18720	en
18046	en
18052	en
30906	en
15238	en
9746	en
30084	en
28620	en
18085	en
25338	en
9791	en
30053	en
16080	en
16269	en
2439	en
31832	en
27936	en
6844	en
28436	es
30279	en
18293	en
29700	en
17822	en
13517	en
31946	en
2217	en
15628	en
22084	en
31761	en
4841	en
30319	en
18481	en
30331	en
4458	en
5746	en
18668	en
16645	en
12345	fr
10220	en
31205	en
23601	en
6298	en
1291	en
24634	en
9197	en
22537	en
32724	en
9196	en
2799	en
18682	en
28999	en
16863	en
14053	en
8539	en
14286	en
9394	en
28219	en
16485	en
18480	en
28231	en
31760	en
12620	en
24392	en
18325	en
5545	en
7352	en
29073	de
10180	en
28423	en
30287	en
10143	en
5431	en
4049	en
29271	en
22324	en
18090	en
30085	en
10341	en
2160	en
7018	en
12218	en
32876	en
13112	en
8317	en
18047	en
1325	en
5625	en
16068	en
14119	en
7768	en
10343	en
16915	en
31372	en
23038	en
16083	en
32647	en
22454	en
16929	en
15993	en
19171	en
16242	en
27921	en
16524	en
4711	en
28353	en
27060	en
27706	en
15978	en
10196	en
17835	en
30534	en
13514	en
28582	en
14247	en
14253	en
10035	en
2214	en
16322	en
15818	en
31776	en
9396	en
24804	en
28794	en
921	en
23831	en
10223	en
9143	en
10237	en
16646	en
7185	en
16685	en
9181	de
30643	en
15399	en
31549	es
14939	en
28756	en
18681	en
31213	en
30858	en
32097	en
13059	en
14050	en
24839	en
2995	en
18642	en
32530	en
3692	en
15819	en
32518	en
17968	en
29886	en
6067	fr
9354	en
17773	en
8857	en
30247	en
17820	en
11289	en
28434	en
13449	en
24583	en
27920	en
10154	en
11504	en
13307	en
30051	en
9963	en
32108	en
26182	de
2177	en
7999	en
32861	en
23978	en
1324	en
12545	en
30082	en
6467	en
9754	en
12551	en
10408	en
2629	en
13673	en
13854	en
10385	en
29262	en
9967	en
19174	en
19160	en
1122	en
17165	en
14478	en
18242	en
18524	en
11266	en
8674	en
15955	en
16290	en
30257	en
28342	en
7584	en
30486	en
2211	en
9344	en
29841	en
17763	en
28593	en
8933	en
12828	en
13288	en
24424	en
32252	en
14295	en
5581	en
7396	en
29896	en
2588	en
17978	en
13049	en
15438	en
9620	en
9146	en
23808	en
8516	en
13061	en
16694	en
16680	en
24632	en
32079	en
9812	en
21039	en
14055	en
4305	en
6274	en
2760	en
31766	en
28545	en
8098	en
24431	en
30322	en
31028	en
33159	en
13262	en
3654	en
12140	en
32290	en
16326	en
31941	en
2210	en
12626	en
16454	en
9351	en
1692	en
7591	en
27064	en
29707	en
3913	en
1137	en
10179	en
8661	en
25698	en
14445	en
2364	en
19161	en
10145	en
22691	en
8649	en
30281	en
16246	en
6116	en
13869	en
14860	en
9966	en
21159	en
16093	en
23982	en
10390	en
13672	en
1335	en
14121	en
6466	en
24790	en
14123	en
6464	en
12546	en
9025	en
5637	en
1323	en
15573	en
3252	en
30730	en
30056	en
2819	en
21167	en
12750	en
32480	en
19163	en
5409	en
2366	en
14447	en
16244	en
16522	en
15765	en
5435	en
7587	en
3093	en
14255	en
19017	en
2206	en
14269	en
3871	en
30320	en
30446	en
29895	en
21211	en
21952	en
15349	en
14057	en
24180	en
2762	en
30863	en
8267	en
3454	en
1257	en
21749	en
32053	en
31228	en
14080	en
26032	en
32709	en
28745	de
25506	en
30679	en
6288	en
30862	en
8500	en
16655	en
16899	en
29894	en
14283	en
30447	en
17775	en
8716	en
30484	en
28426	en
14491	en
16292	en
15943	en
15002	en
29923	en
17173	en
16245	en
9226	en
2415	en
1108	en
7948	en
9965	en
29248	en
18081	en
28142	en
13842	en
10393	en
30725	en
15599	en
30731	en
18730	en
3253	en
18056	en
18042	en
10378	en
10436	en
23956	en
6465	en
4272	en
9997	en
8337	en
2168	en
7776	en
21194	en
31350	de
30072	en
18098	en
30066	en
8653	en
29906	en
29912	en
12984	en
29721	en
6695	en
32315	en
17022	en
31783	en
17750	en
15609	en
27863	en
2222	en
30310	en
22714	en
4479	en
14073	en
29494	en
16664	en
6246	en
9613	en
26980	en
30884	en
14932	en
24615	en
23608	en
24172	en
25244	en
9821	en
1528	en
10214	en
1266	en
6086	en
27651	it
23437	en
9389	en
13292	en
31741	en
13286	en
33156	en
31027	en
30339	en
16473	en
2223	en
14258	en
29867	en
18304	en
6079	en
8040	en
19191	en
32314	en
19185	en
30259	en
12952	en
16507	en
11268	en
9202	en
16513	en
29913	en
29907	en
12991	en
7944	en
12588	en
12577	en
2141	en
30926	en
23796	en
18066	en
1474	en
9980	en
25497	en
14886	en
31390	en
7761	en
19434	en
14104	en
4254	en
13864	en
30065	en
30703	en
14448	en
8122	en
17627	en
486	en
8678	en
11518	en
31810	en
15795	en
12788	en
16288	en
15965	en
18474	en
4650	en
14272	en
9360	en
28206	en
13284	en
2590	en
6090	en
15346	en
5016	en
15434	en
30878	en
1258	en
29497	en
19554	en
27337	en
31555	en
2976	en
17593	en
19233	en
17222	en
7614	en
7600	en
1926	en
31756	el
31030	en
9361	en
16470	en
15179	en
29870	en
13520	en
1715	en
29723	en
31178	en
444	en
11280	el
11294	en
12945	en
23597	en
2368	en
30299	en
29910	de
32101	en
28165	de
18918	en
27530	en
29509	en
15596	en
16712	en
32840	pl
31391	en
8319	en
10373	en
32878	en
16716	en
16070	en
5601	en
8457	en
1473	en
30060	en
30074	en
27246	en
27520	en
2813	en
30048	en
16931	en
9563	en
5359	en
7572	en
13322	en
31829	en
17805	en
30504	en
2224	en
14511	en
2230	en
29690	en
13518	en
32298	es
9359	en
7412	en
1922	en
3853	en
24439	en
25727	en
12376	en
14061	en
2032	en
939	en
7176	en
13901	en
5946	en
11680	en
25243	en
23626	en
30882	en
28772	en
18869	en
9827	en
31545	en
25524	en
21024	en
16878	en
28996	en
30667	en
1260	en
14048	en
8522	en
26950	en
2027	en
16111	en
12377	en
14060	en
16677	en
2741	en
27131	en
31753	en
30317	en
5589	en
15632	en
10038	en
2219	en
8708	en
4654	en
2225	en
31141	en
333	en
30511	en
24216	fr
31828	en
18504	en
18510	en
7215	en
9576	en
8668	en
16501	en
29929	en
19154	en
14699	en
15593	en
21178	en
13860	en
1314	en
1472	en
9760	en
10402	en
3529	en
9762	en
9004	en
1470	en
2179	en
18062	en
11720	en
16729	en
30088	en
19383	en
6492	en
31355	de
16098	en
1128	en
5428	en
7565	en
24599	en
31157	en
15787	en
2233	en
5548	en
13269	en
1048	en
14248	en
5212	en
7405	en
8911	en
21230	en
13282	en
31745	en
23433	en
16107	en
29491	en
6525	en
8246	en
19208	en
30856	en
13057	en
30665	en
30103	en
31209	en
29320	en
31221	en
28770	en
16846	en
2964	es
31552	en
2971	en
32729	en
31208	en
22512	en
30664	en
6295	en
7835	en
2795	en
16648	en
13056	en
11899	en
30857	en
5763	en
16674	en
2024	en
17797	en
17783	en
13283	en
23340	en
8051	en
4119	en
2226	en
17768	en
12610	en
7438	en
2232	en
30506	en
30274	en
17146	en
7216	en
2408	en
9549	en
12002	en
4051	en
25862	en
30738	en
15590	en
6487	en
30076	en
18711	en
15553	en
30937	en
1471	en
15547	en
12228	en
5171	en
31397	en
12200	en
14103	en
15246	en
13623	en
28851	en
28689	en
6351	en
24058	en
20564	en
24064	en
18951	en
29965	en
15736	en
31870	en
17848	en
28474	en
13555	en
31092	de
10074	en
4624	en
15695	en
25742	en
32202	en
7661	en
27425	en
30171	en
30170	en
24663	en
29353	fr
2903	en
16174	en
8547	en
17915	en
19092	en
30428	en
27632	en
24449	en
16376	en
12676	en
16410	en
18429	en
16404	en
9467	en
7304	en
26289	en
17732	en
10049	en
12138	en
30560	en
8802	en
3980	en
16216	en
27791	en
29964	en
19119	en
29555	en
30004	en
18944	en
13187	en
11784	en
17493	en
10317	en
801	en
23911	en
8427	en
30945	en
12528	en
32820	en
31481	en
21692	en
11037	en
16980	en
27585	es
7702	en
16994	en
4237	en
16770	en
14198	en
30748	en
5465	en
16566	en
31867	en
6144	en
8169	en
14365	en
30238	en
13387	en
15084	en
30562	en
7299	en
24265	en
8035	en
8021	en
21296	en
9317	en
14588	en
25033	de
23318	en
25580	en
9883	en
963	en
18629	en
12304	en
13797	en
15494	en
31278	en
31279	en
19293	en
15495	en
5909	en
16836	en
10248	en
27396	en
9128	en
8550	en
8961	en
4197	en
21532	en
29608	en
31735	en
13219	en
10076	en
13225	en
8752	en
31669	de
15907	en
21320	en
23537	en
15091	en
16598	en
27023	en
13386	en
33056	en
31866	en
16201	en
14416	en
17645	en
15052	en
30007	en
30985	en
9060	en
1414	en
21693	fr
1400	en
13621	en
23902	en
10310	en
19334	en
4540	en
9716	en
24937	en
31484	en
24923	en
32172	en
15283	en
14412	en
10112	en
25803	en
2469	en
7288	en
1835	en
6182	en
9299	en
17682	en
25156	en
4971	en
33046	en
9306	en
8756	en
17721	en
23484	en
8742	en
3171	en
1955	en
4193	en
15877	en
4839	en
31043	en
16173	en
14770	en
16601	en
30188	en
15320	en
13751	en
1570	en
5064	en
7840	en
23651	en
2904	en
15491	en
16826	en
14956	en
16827	en
2905	en
29355	en
9878	en
7841	en
28739	en
29427	en
1203	en
15335	en
17250	en
7100	en
10265	en
26258	en
15686	en
31056	en
10098	en
6949	en
29631	en
15876	en
32205	en
18375	en
5515	en
22957	en
13208	en
1029	en
30228	en
33047	en
27032	en
30994	en
17495	en
2871	en
5850	en
13817	en
6395	en
31491	en
16984	en
33292	en
4555	en
15269	en
16776	en
7738	en
9073	en
24908	en
7704	sv
1413	en
32830	en
32171	en
30028	en
2867	en
25343	en
11780	en
29784	en
29948	en
19653	en
16560	en
9265	en
15727	en
31849	en
16548	en
29974	en
17642	en
15900	en
30570	en
2495	en
10844	en
12100	en
29828	en
27811	en
22969	en
9477	de
16372	en
15653	en
9339	en
17722	en
15121	en
13236	en
30362	en
29627	en
30410	en
32549	en
27150	en
1229	en
31281	en
9649	en
2091	en
19294	en
23120	en
11186	en
15487	en
13948	en
15493	en
13974	en
30161	en
13035	en
31294	en
32789	en
3371	en
16617	en
32548	en
13237	en
4608	en
17045	en
1764	en
7473	en
3615	en
31653	en
28302	en
26461	en
6194	en
20776	en
3946	en
17870	en
31848	en
16549	en
3991	en
29949	en
2331	en
14410	en
12075	en
10104	en
30015	en
13627	en
16993	en
27596	en
15242	en
32825	de
24909	en
7739	en
